underlying,week_start,week_end,pnl,spot_start,spot_end,move_pct,trailing_vol,short_target,breached_short,breach_amount
MSFT,2026-07-06,2026-07-10,44.916500000006636,386.74,385.1,-0.004240575063350019,0.3870960582286035,371.06810889692207,False,0.0
MSFT,2026-07-13,2026-07-17,51.911000000007334,390.99,393.82,0.00723803677843419,0.3727315275907452,375.7338362104695,False,0.0
MSFT,2026-07-20,2026-07-24,-431.17450000000827,402.29,381.7,-0.05118198314648644,0.35766540921162,387.2274070136389,True,5.5274070136389355
MSFT,2026-07-27,2026-07-31,164.3125,389.1,464.72,0.19434592649704446,0.3203066491937537,376.0529974145832,False,0.0
MSFT,2026-08-03,2026-08-07,29.94199999999546,487.65,499.99,0.025305034348405687,0.5668586909556699,458.71212731951164,False,0.0
MSFT,2026-08-10,2026-08-14,12.97249999998894,506.06,495.4,-0.021064695885863384,0.5778729495841305,475.4461506954413,False,0.0
MSFT,2026-08-17,2026-08-21,0.0,480.35,483.24,0.006016446341209506,0.5756019529812412,451.40566225207164,False,0.0
MSFT,2026-08-24,2026-08-28,9.978999999992084,487.31,513.53,0.05380558576676032,0.5692492353995932,458.2703523262509,False,0.0
NVDA,2026-06-01,2026-06-05,-431.0905000000057,224.36,205.1,-0.08584417899803895,0.3646444649493761,215.79556691667537,True,10.695566916675375
NVDA,2026-06-08,2026-06-12,36.950500000006286,208.64,205.19,-0.0165356595092024,0.46176029786434925,198.55449318810955,False,0.0
NVDA,2026-06-15,2026-06-18,37.953999999997905,212.45,210.69,-0.008284302188750252,0.4357292378048286,204.0575718270703,False,0.0
NVDA,2026-06-22,2026-06-26,-456.0540000000037,208.65,192.53,-0.07725856697819317,0.45291902717102817,198.75712507619141,True,6.227125076191413
NVDA,2026-06-29,2026-07-02,37.95999999999185,194.97,194.83,-0.0007180591885930469,0.46988410645387546,186.66436689938598,False,0.0
NVDA,2026-07-06,2026-07-10,46.94449999999779,195.55,210.96,0.07880337509588338,0.4091298218603795,187.17465857095226,False,0.0
NVDA,2026-07-13,2026-07-17,52.92750000000524,203.53,202.81,-0.0035375620301675375,0.3596207219288789,195.86774317655525,False,0.0
NVDA,2026-07-20,2026-07-24,56.9204999999929,203.28,206.84,0.017512790240062977,0.38888468865576303,195.00440821688457,False,0.0
NVDA,2026-07-27,2026-07-31,90.87149999999383,196.51,200.75,0.021576510101267158,0.35447236117619985,189.2179338915217,False,0.0
NVDA,2026-08-03,2026-08-07,45.94199999999546,206.64,223.96,0.08381726674409612,0.4243445822645269,197.46055089237356,False,0.0
NVDA,2026-08-10,2026-08-14,34.95249999999942,217.55,225.16,0.034980464261089333,0.42485359536460426,207.874309924211,False,0.0
NVDA,2026-08-17,2026-08-21,-6.033999999999651,225.01,214.72,-0.04573130083107414,0.38250557353577996,216.00003402779228,True,1.2800340277922828
NVDA,2026-08-24,2026-08-28,120.77850000000035,208.48,217.55,0.043505372217958665,0.38268426399443506,200.12803691387867,False,0.0
AMZN,2026-06-01,2026-06-05,-406.12300000000687,261.26,246.03,-0.05829441935236925,0.21285768312250208,255.4383536899506,True,9.408353689950587
AMZN,2026-06-08,2026-06-12,60.915500000002794,245.22,238.55,-0.027200065247532778,0.277277099370818,238.10207424459372,False,0.0
AMZN,2026-06-15,2026-06-18,58.933499999999185,246.02,244.39,-0.006625477603446971,0.28085354914930993,239.75581571428157,False,0.0
AMZN,2026-06-22,2026-06-26,64.91750000001048,232.79,232.69,-0.0004295717169981284,0.3300879568465395,224.74589810335917,False,0.0
AMZN,2026-06-29,2026-07-02,57.93499999999767,240.14,242.67,0.010535520946114771,0.3696382927808974,232.0925987310966,False,0.0
AMZN,2026-07-06,2026-07-10,55.93399999999383,244.16,245.34,0.0048328964613368565,0.372536946919757,234.63801636475162,False,0.0
AMZN,2026-07-13,2026-07-17,50.93450000000303,247.31,247.23,-0.00032348065181356397,0.34575955452237567,238.35842549134068,False,0.0
AMZN,2026-07-20,2026-07-24,-421.1015000000043,249.99,232.11,-0.07152286091443656,0.3235371118684587,241.52298548424352,True,9.412985484243507
AMZN,2026-07-27,2026-07-31,169.5749999999971,231.39,271.58,0.17368944206750508,0.28939511056479683,224.3799786802301,False,0.0
AMZN,2026-08-03,2026-08-07,25.964000000007218,284.02,274.48,-0.0335891838602914,0.5869309635791929,266.5690325735826,False,0.0
AMZN,2026-08-10,2026-08-14,10.983500000002095,278.09,262.65,-0.055521593728648996,0.6145677418145639,260.1988318983937,False,0.0
AMZN,2026-08-17,2026-08-21,9.985000000000582,261.31,258.63,-0.010256017756687486,0.6155796064924274,244.4707084183843,False,0.0
AMZN,2026-08-24,2026-08-28,8.983500000002095,262.07,266.43,0.016636776433777287,0.5958960248494782,245.72174661010325,False,0.0
GOOGL,2026-06-01,2026-06-05,64.90150000000722,376.37,368.53,-0.020830565666764174,0.2593620376873018,366.1510806398365,False,0.0
GOOGL,2026-06-08,2026-06-12,88.85549999999057,363.31,359.68,-0.009991467341939378,0.3064856356688718,351.6534229111371,False,0.0
GOOGL,2026-06-15,2026-06-18,71.8859999999986,369.35,368.03,-0.0035738459455802083,0.25745089486395134,360.7292171803544,False,0.0
GOOGL,2026-06-22,2026-06-26,-167.15899999999965,349.68,337.39,-0.035146419583619366,0.2904365281824741,339.0482294921853,True,1.6582294921853418
GOOGL,2026-06-29,2026-07-02,47.91400000000431,353.65,359.91,0.017701116923512082,0.3286706632266088,343.1122279762586,False,0.0
GOOGL,2026-07-06,2026-07-10,51.911999999996624,366.46,357.18,-0.025323364077934764,0.3509141205870776,352.9979566403481,False,0.0
